country_ch,country_en,cases,deaths
獅子山,Sierra Leone,7752,126
查德,Chad,7620,194
聖文森及格瑞那丁,Saint Vincent and the Grenadines,7112,115
聖克里斯多福及尼維斯,Saint Kitts and Nevis,6548,46
庫克群島,Cook Islands,6389,1
聖多美普林西比,Sao Tome and Principe,6263,77
帛琉,Palau,5509,7
諾魯,Nauru,4610,1
吉里巴斯,Kiribati,3430,13
澳門,Macao,793,6
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
紐埃,Niue,85,0
教廷,Holy See,29,0
吐瓦魯,Tuvalu,23,0
北韓,North Korea,2,1
